case_id,witn_id,witness_statement
CASE140,WITN343,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE140,WITN332,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE141,WITN063,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE142,WITN612,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE143,WITN597,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE143,WITN289,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE143,WITN173,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE144,WITN587,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE144,WITN278,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE144,WITN557,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE145,WITN366,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE145,WITN609,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE146,WITN073,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE146,WITN171,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE146,WITN454,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE147,WITN079,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE147,WITN271,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE148,WITN573,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE148,WITN129,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE148,WITN055,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE149,WITN455,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE149,WITN322,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE150,WITN177,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE150,WITN488,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE150,WITN074,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE151,WITN005,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE152,WITN062,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE153,WITN222,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE153,WITN548,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE153,WITN088,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE154,WITN297,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE154,WITN478,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE154,WITN582,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE155,WITN240,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE155,WITN379,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE156,WITN080,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE156,WITN639,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE156,WITN601,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE156,WITN294,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE156,WITN428,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE157,WITN157,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE157,WITN333,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE158,WITN040,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE158,WITN349,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE159,WITN483,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE159,WITN181,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE160,WITN569,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE160,WITN604,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE160,WITN025,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE160,WITN170,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE161,WITN456,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE161,WITN403,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE161,WITN183,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE161,WITN638,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE161,WITN238,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE162,WITN133,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE162,WITN193,I was present in the meeting when the accused promised a double return on investment within six months.
CASE162,WITN246,I was present in the meeting when the accused promised a double return on investment within six months.
CASE163,WITN210,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE163,WITN633,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE164,WITN143,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE164,WITN198,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE164,WITN550,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE164,WITN196,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE164,WITN032,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE165,WITN505,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE166,WITN056,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE166,WITN223,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE166,WITN182,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE166,WITN452,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE167,WITN334,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE167,WITN217,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE167,WITN300,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE168,WITN084,I was present in the meeting when the accused promised a double return on investment within six months.
CASE168,WITN279,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE169,WITN391,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE169,WITN390,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE169,WITN014,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE170,WITN520,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE170,WITN496,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE170,WITN317,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE171,WITN208,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE171,WITN447,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE172,WITN491,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE172,WITN622,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE172,WITN594,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE172,WITN547,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE172,WITN426,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE173,WITN641,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE173,WITN229,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE174,WITN059,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE174,WITN420,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE175,WITN085,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE175,WITN284,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE175,WITN138,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE175,WITN282,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE176,WITN395,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE176,WITN180,I was present in the meeting when the accused promised a double return on investment within six months.
CASE177,WITN631,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE178,WITN315,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE178,WITN503,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE178,WITN127,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE179,WITN199,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE180,WITN050,I was present in the meeting when the accused promised a double return on investment within six months.
CASE180,WITN580,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE180,WITN542,I was present in the meeting when the accused promised a double return on investment within six months.
CASE181,WITN137,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE182,WITN190,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE182,WITN464,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE182,WITN036,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE183,WITN154,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE183,WITN178,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE184,WITN599,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE184,WITN015,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE184,WITN280,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE185,WITN443,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE185,WITN096,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE186,WITN216,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE186,WITN607,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE187,WITN495,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE187,WITN381,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE187,WITN511,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE188,WITN564,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE189,WITN042,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE189,WITN338,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE190,WITN339,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE191,WITN634,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE192,WITN484,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE193,WITN172,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE193,WITN087,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE193,WITN186,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE194,WITN089,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE195,WITN086,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE196,WITN007,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE196,WITN220,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE197,WITN492,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE197,WITN545,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE198,WITN252,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE198,WITN058,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE198,WITN152,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE199,WITN226,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE199,WITN549,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE199,WITN215,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE199,WITN102,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE200,WITN429,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE200,WITN078,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE200,WITN567,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE201,WITN636,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE201,WITN153,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE202,WITN341,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE202,WITN221,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE202,WITN522,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE203,WITN136,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE203,WITN060,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE203,WITN268,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE203,WITN331,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE204,WITN030,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE204,WITN572,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE204,WITN134,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE204,WITN082,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE205,WITN513,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE205,WITN267,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE206,WITN290,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE206,WITN013,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE206,WITN514,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE207,WITN624,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE207,WITN489,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE207,WITN630,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE208,WITN048,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE208,WITN323,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE208,WITN212,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE209,WITN625,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE209,WITN506,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE210,WITN525,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE211,WITN072,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE211,WITN353,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE211,WITN230,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE212,WITN581,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE212,WITN070,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE212,WITN131,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE213,WITN470,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE213,WITN467,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE214,WITN218,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE214,WITN162,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE215,WITN578,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE215,WITN558,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE216,WITN482,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE217,WITN313,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE217,WITN359,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE218,WITN437,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE218,WITN608,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE219,WITN583,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE219,WITN051,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE219,WITN053,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE220,WITN016,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE220,WITN364,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE220,WITN378,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE220,WITN373,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE220,WITN304,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE221,WITN066,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE221,WITN224,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE221,WITN649,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE222,WITN537,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE222,WITN449,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE222,WITN118,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE223,WITN481,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE223,WITN147,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE223,WITN299,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE224,WITN259,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE224,WITN091,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE224,WITN303,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE225,WITN386,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE225,WITN621,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE225,WITN292,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE225,WITN544,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE225,WITN348,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE225,WITN393,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE226,WITN233,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE226,WITN031,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE226,WITN083,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE226,WITN498,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE226,WITN264,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE227,WITN004,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE227,WITN623,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE228,WITN011,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE228,WITN169,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE229,WITN512,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE230,WITN551,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE231,WITN436,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE231,WITN355,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE231,WITN442,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE231,WITN201,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE231,WITN291,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE232,WITN528,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE232,WITN149,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE233,WITN164,I was present in the meeting when the accused promised a double return on investment within six months.
CASE233,WITN611,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE234,WITN097,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE234,WITN411,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE234,WITN288,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE235,WITN593,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE235,WITN363,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE235,WITN485,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE236,WITN473,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE236,WITN400,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE236,WITN598,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE236,WITN123,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE237,WITN352,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE237,WITN468,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE237,WITN034,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE238,WITN358,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE239,WITN499,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE239,WITN115,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE239,WITN017,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE240,WITN416,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE240,WITN008,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE240,WITN561,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE240,WITN535,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE240,WITN108,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE241,WITN357,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE242,WITN385,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE243,WITN098,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE243,WITN003,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE244,WITN174,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE245,WITN219,I was present in the meeting when the accused promised a double return on investment within six months.
CASE245,WITN144,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE246,WITN022,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE246,WITN109,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE246,WITN515,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE247,WITN101,I was present in the meeting when the accused promised a double return on investment within six months.
CASE247,WITN061,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE248,WITN166,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE248,WITN295,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE249,WITN398,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE249,WITN298,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE250,WITN524,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE251,WITN635,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE251,WITN380,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE251,WITN262,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE252,WITN592,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE252,WITN642,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE253,WITN019,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE253,WITN006,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE254,WITN372,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE254,WITN401,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE255,WITN275,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE255,WITN125,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE255,WITN247,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE256,WITN532,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE257,WITN441,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE257,WITN318,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE257,WITN095,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE257,WITN045,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE258,WITN370,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE258,WITN500,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE258,WITN387,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE258,WITN146,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE258,WITN402,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE259,WITN105,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE259,WITN306,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE259,WITN566,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE259,WITN029,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE260,WITN012,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE260,WITN020,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE260,WITN517,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE261,WITN328,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE261,WITN603,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE261,WITN104,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE261,WITN620,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE261,WITN227,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE262,WITN206,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE262,WITN285,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE262,WITN493,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE263,WITN371,I was present in the meeting when the accused promised a double return on investment within six months.
CASE264,WITN530,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE265,WITN231,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE265,WITN394,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE266,WITN228,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE266,WITN052,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE266,WITN577,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE267,WITN243,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE267,WITN245,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE267,WITN346,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
