evidence_id,case_id,evidence_type,description,seizure_date
EVID0257,CASE077,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-04-24 17:29:56
EVID0258,CASE077,IP Address Log,IP address access log associated with the fraud transaction.,2026-04-17 20:52:42
EVID0259,CASE078,SIM Card,SIM card recovered from the suspect's possession's device.,2025-11-02 21:52:20
EVID0260,CASE078,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-11-04 00:41:01
EVID0261,CASE079,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-08-08 04:35:14
EVID0262,CASE079,Email Records,Email threads between the complainant and the fraudulent sender.,2025-08-08 19:58:27
EVID0263,CASE079,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-08-06 13:50:28
EVID0264,CASE080,CCTV Footage,CCTV footage recorded at the crime scene near Mahadevapura Church Road location showing the suspect's possession.,2025-12-08 00:08:38
EVID0265,CASE080,Fingerprints,Latent fingerprints lifted from the crime scene near Mahadevapura Church Road environment.,2025-12-03 22:43:00
EVID0266,CASE080,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-12-01 10:00:47
EVID0267,CASE080,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-12-01 23:57:16
EVID0268,CASE081,Threat Letter,Threat letter written by the accused received by the victim.,2025-08-18 19:26:01
EVID0269,CASE081,Broken Glass,Broken glass shards collected for forensic examination.,2025-08-21 18:40:30
EVID0270,CASE082,Email Records,Phishing or fraudulent email communications retrieved.,2026-04-24 23:25:55
EVID0271,CASE082,IP Address Log,Access logs showing logins to the target banking portal.,2026-04-25 16:40:23
EVID0272,CASE083,Mobile Phone,Seized phone containing suspicious communications.,2025-01-31 04:12:23
EVID0273,CASE083,Broken Glass,Broken glass shards collected for forensic examination.,2025-02-10 00:52:52
EVID0274,CASE084,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-04-14 15:55:26
EVID0275,CASE084,IP Address Log,IP address access log associated with the fraud transaction.,2026-04-15 14:20:12
EVID0276,CASE084,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-04-17 20:51:05
EVID0277,CASE084,Email Records,Email threads between the complainant and the fraudulent sender.,2026-04-22 06:25:53
EVID0278,CASE084,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Singasandra Station Road.,2026-04-17 17:59:03
EVID0279,CASE085,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2025-02-22 17:17:19
EVID0280,CASE085,Blood Sample,Blood spatter samples collected from the scene of the incident.,2025-02-18 19:16:12
EVID0281,CASE085,DNA Sample,Biological DNA samples extracted from the crime scene near Ulsoor Highway.,2025-02-23 00:39:32
EVID0282,CASE085,Clothing,Stained clothing of the victim containing forensic trace material.,2025-02-22 17:57:55
EVID0283,CASE086,Fingerprints,Latent fingerprints lifted from the crime scene near Church Street environment.,2025-07-03 04:39:08
EVID0284,CASE086,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-07-07 22:36:06
EVID0285,CASE087,Hard Disk,Hard drive containing files and data log information.,2025-10-03 20:45:38
EVID0286,CASE087,SIM Card,SIM card recovered from the suspect's possession's device.,2025-10-04 12:56:23
EVID0287,CASE087,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Sanjaynagar 4th Ring Road.,2025-10-03 19:46:03
EVID0288,CASE087,Mobile Phone,Seized phone containing suspicious communications.,2025-09-26 20:14:31
EVID0289,CASE087,Broken Glass,Broken glass shards collected for forensic examination.,2025-09-28 13:17:31
EVID0290,CASE088,Wallet,Wallet recovered from the crime scene near Harlur Road Lane containing identity cards.,2025-10-12 15:16:48
EVID0291,CASE088,Laptop,Personal laptop containing document files related to the case.,2025-10-07 17:52:19
EVID0292,CASE088,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Harlur Road Lane.,2025-10-10 14:04:42
EVID0293,CASE088,Broken Glass,Broken glass shards collected for forensic examination.,2025-10-13 20:50:38
EVID0294,CASE089,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-04-03 08:43:16
EVID0295,CASE090,Wallet,Wallet recovered from the crime scene near Green Glen Layout Road containing identity cards.,2025-03-30 19:04:36
EVID0296,CASE090,Broken Glass,Broken glass shards collected for forensic examination.,2025-04-02 20:49:23
EVID0297,CASE090,Threat Letter,Threat letter written by the accused received by the victim.,2025-04-08 07:30:17
EVID0298,CASE090,Laptop,Personal laptop containing document files related to the case.,2025-04-06 14:45:06
EVID0299,CASE090,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Green Glen Layout Road.,2025-04-02 14:49:25
EVID0300,CASE091,Laptop,Personal laptop containing document files related to the case.,2025-12-22 21:18:53
EVID0301,CASE091,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near HSR Layout Sector 1 Road.,2025-12-23 11:54:02
EVID0302,CASE092,Wallet,Wallet recovered from the crime scene near Hampankatta Highway containing identity cards.,2025-05-08 13:21:55
EVID0303,CASE092,Threat Letter,Threat letter written by the accused received by the victim.,2025-04-30 01:27:21
EVID0304,CASE092,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Hampankatta Highway.,2025-05-01 22:50:26
EVID0305,CASE093,Broken Glass,Broken glass shards collected for forensic examination.,2026-03-05 12:31:47
EVID0306,CASE093,Hard Disk,Hard drive containing files and data log information.,2026-02-24 22:00:42
EVID0307,CASE093,Threat Letter,Threat letter written by the accused received by the victim.,2026-03-01 20:09:32
EVID0308,CASE094,Blood Sample,Blood spatter samples collected from the scene of the incident.,2026-04-05 07:09:29
EVID0309,CASE094,Clothing,Stained clothing of the victim containing forensic trace material.,2026-04-04 11:49:17
EVID0310,CASE094,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2026-03-28 04:28:40
EVID0311,CASE094,DNA Sample,Biological DNA samples extracted from the crime scene near Urwa 3th Highway.,2026-04-03 14:08:49
EVID0312,CASE094,Mobile Phone,Seized phone containing suspicious communications.,2026-04-05 03:34:18
EVID0313,CASE094,Wallet,Wallet recovered from the crime scene near Urwa 3th Highway containing identity cards.,2026-04-03 18:59:52
EVID0314,CASE094,SIM Card,SIM card recovered from the suspect's possession's device.,2026-03-28 12:49:20
EVID0315,CASE095,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-01-24 18:48:51
EVID0316,CASE095,Fingerprints,Latent fingerprints lifted from the crime scene near Nehru Nagar Junction Road environment.,2026-01-28 14:23:07
EVID0317,CASE095,CCTV Footage,CCTV footage recorded at the crime scene near Nehru Nagar Junction Road location showing the suspect's possession.,2026-01-23 11:34:15
EVID0318,CASE096,Mobile Phone,Seized phone containing suspicious communications.,2025-07-07 08:53:18
EVID0319,CASE097,IP Address Log,IP address access log associated with the fraud transaction.,2025-10-08 19:17:30
EVID0320,CASE097,Email Records,Email threads between the complainant and the fraudulent sender.,2025-10-04 01:17:45
EVID0321,CASE097,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-10-06 22:33:07
EVID0322,CASE097,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-10-06 22:08:55
EVID0323,CASE097,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-10-07 19:08:45
EVID0324,CASE098,Broken Glass,Broken glass shards collected for forensic examination.,2026-05-29 23:12:49
EVID0325,CASE098,Mobile Phone,Seized phone containing suspicious communications.,2026-05-28 21:51:52
EVID0326,CASE098,Wallet,Wallet recovered from the crime scene near Church Street containing identity cards.,2026-05-28 11:44:37
EVID0327,CASE098,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-21 01:13:23
EVID0328,CASE098,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-05-21 18:48:49
EVID0329,CASE099,DNA Sample,Biological DNA samples extracted from the crime scene near JP Nagar 24th Main Road.,2026-05-28 16:35:36
EVID0330,CASE099,Blood Sample,Blood spatter samples collected from the scene of the incident.,2026-05-31 09:23:48
EVID0331,CASE099,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2026-06-03 01:04:25
EVID0332,CASE099,Clothing,Stained clothing of the victim containing forensic trace material.,2026-06-06 01:02:11
EVID0333,CASE099,Laptop,Personal laptop containing document files related to the case.,2026-06-04 22:59:16
EVID0334,CASE099,Laptop,Personal laptop containing document files related to the case.,2026-05-29 12:50:47
EVID0335,CASE100,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-03-04 02:29:29
EVID0336,CASE100,CCTV Footage,CCTV footage recorded at the crime scene near Surathkal Cross Road location showing the suspect's possession.,2025-03-08 18:28:46
EVID0337,CASE100,Fingerprints,Latent fingerprints lifted from the crime scene near Surathkal Cross Road environment.,2025-03-09 02:59:14
EVID0338,CASE100,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-03-06 15:15:59
EVID0339,CASE101,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-01-08 01:22:02
EVID0340,CASE101,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-01-07 06:55:12
EVID0341,CASE101,Email Records,Phishing or fraudulent email communications retrieved.,2025-12-31 12:45:55
EVID0342,CASE102,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-12-09 12:20:43
EVID0343,CASE102,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Commercial Street Bazaar Street.,2025-12-12 05:31:27
EVID0344,CASE103,SIM Card,SIM card recovered from the suspect's possession's device.,2025-05-27 04:24:09
EVID0345,CASE103,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-05-27 17:59:37
EVID0346,CASE103,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Padmanabhanagar Bazaar Street.,2025-06-01 09:20:43
EVID0347,CASE103,Laptop,Personal laptop containing document files related to the case.,2025-05-25 14:20:59
EVID0348,CASE104,Mobile Phone,Seized phone containing suspicious communications.,2025-01-27 11:40:46
EVID0349,CASE104,Hard Disk,Hard drive containing files and data log information.,2025-01-30 21:21:46
EVID0350,CASE105,Email Records,Email threads between the complainant and the fraudulent sender.,2025-12-14 09:15:31
EVID0351,CASE105,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-12-09 22:16:48
EVID0352,CASE105,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-12-10 13:12:58
EVID0353,CASE105,IP Address Log,IP address access log associated with the fraud transaction.,2025-12-09 02:20:55
EVID0354,CASE106,Laptop,Personal laptop containing document files related to the case.,2025-07-09 00:10:59
EVID0355,CASE106,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-07-12 00:00:08
EVID0356,CASE106,Broken Glass,Broken glass shards collected for forensic examination.,2025-07-09 11:54:30
EVID0357,CASE107,IP Address Log,IP address access log associated with the fraud transaction.,2025-09-25 19:00:15
EVID0358,CASE107,Email Records,Email threads between the complainant and the fraudulent sender.,2025-09-22 19:58:10
EVID0359,CASE107,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-09-27 07:35:05
EVID0360,CASE107,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-09-21 09:08:56
EVID0361,CASE108,SIM Card,SIM card recovered from the suspect's possession's device.,2025-06-14 17:13:14
EVID0362,CASE108,Broken Glass,Broken glass shards collected for forensic examination.,2025-06-10 00:49:52
EVID0363,CASE108,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-06-12 07:37:37
EVID0364,CASE109,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-01-17 06:05:48
EVID0365,CASE109,IP Address Log,Access logs showing logins to the target banking portal.,2025-01-13 04:07:09
EVID0366,CASE109,Email Records,Phishing or fraudulent email communications retrieved.,2025-01-17 03:45:51
EVID0367,CASE109,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-01-16 02:00:15
EVID0368,CASE109,Threat Letter,Threat letter written by the accused received by the victim.,2025-01-20 14:12:06
EVID0369,CASE110,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-01-15 17:45:41
EVID0370,CASE110,IP Address Log,IP address access log associated with the fraud transaction.,2026-01-17 06:54:25
EVID0371,CASE110,Email Records,Email threads between the complainant and the fraudulent sender.,2026-01-10 10:14:48
EVID0372,CASE111,IP Address Log,Access logs showing logins to the target banking portal.,2026-05-04 19:07:04
EVID0373,CASE111,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-04-27 07:52:49
EVID0374,CASE111,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-04-28 20:39:51
EVID0375,CASE112,Wallet,Wallet recovered from the crime scene near Padmanabhanagar Bazaar Street containing identity cards.,2025-05-07 14:14:09
EVID0376,CASE112,Hard Disk,Hard drive containing files and data log information.,2025-05-16 10:40:46
EVID0377,CASE112,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Padmanabhanagar Bazaar Street.,2025-05-10 19:51:23
EVID0378,CASE113,Wallet,Wallet recovered from the crime scene near Tavarekere Main Road containing identity cards.,2025-01-22 17:55:46
EVID0379,CASE114,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-01-13 13:29:06
EVID0380,CASE114,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near KR Puram Bypass Road.,2025-01-09 23:24:42
EVID0381,CASE115,IP Address Log,IP address access log associated with the fraud transaction.,2025-10-20 22:08:24
EVID0382,CASE115,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-10-21 12:15:53
EVID0383,CASE115,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-10-21 06:02:29
EVID0384,CASE115,Email Records,Email threads between the complainant and the fraudulent sender.,2025-10-28 06:25:23
EVID0385,CASE116,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-13 16:32:58
EVID0386,CASE117,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-04-13 10:39:09
EVID0387,CASE117,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-04-11 23:39:03
EVID0388,CASE117,IP Address Log,Access logs showing logins to the target banking portal.,2025-04-12 11:15:25
EVID0389,CASE117,Email Records,Phishing or fraudulent email communications retrieved.,2025-04-10 13:01:18
EVID0390,CASE117,Mobile Phone,Seized phone containing suspicious communications.,2025-04-14 06:26:39
EVID0391,CASE118,Threat Letter,Threat letter written by the accused received by the victim.,2025-05-05 16:24:00
EVID0392,CASE118,Mobile Phone,Seized phone containing suspicious communications.,2025-05-11 23:14:37
EVID0393,CASE118,Hard Disk,Hard drive containing files and data log information.,2025-05-11 17:02:53
EVID0394,CASE118,SIM Card,SIM card recovered from the suspect's possession's device.,2025-05-10 04:07:45
EVID0395,CASE118,Wallet,Wallet recovered from the crime scene near St Mark's Road containing identity cards.,2025-05-10 01:56:21
EVID0396,CASE119,Laptop,Personal laptop containing document files related to the case.,2026-01-11 05:28:59
EVID0397,CASE119,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-01-15 19:35:22
EVID0398,CASE119,Broken Glass,Broken glass shards collected for forensic examination.,2026-01-14 03:13:49
EVID0399,CASE119,Threat Letter,Threat letter written by the accused received by the victim.,2026-01-20 02:50:17
EVID0400,CASE119,Hard Disk,Hard drive containing files and data log information.,2026-01-12 20:25:05
EVID0401,CASE120,IP Address Log,IP address access log associated with the fraud transaction.,2025-08-24 23:42:10
EVID0402,CASE120,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-08-20 20:45:40
EVID0403,CASE121,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Shanti Nagar Highway.,2025-04-19 02:48:16
EVID0404,CASE122,SIM Card,SIM card recovered from the suspect's possession's device.,2025-10-30 16:30:51
EVID0405,CASE122,Wallet,Wallet recovered from the crime scene near Vidyaranyapuram Mysuru 4th Station Road containing identity cards.,2025-10-26 15:31:15
EVID0406,CASE122,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Vidyaranyapuram Mysuru 4th Station Road.,2025-10-28 11:51:19
EVID0407,CASE123,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-02-05 08:14:02
EVID0408,CASE123,Email Records,Email threads between the complainant and the fraudulent sender.,2025-02-09 21:11:58
EVID0409,CASE123,IP Address Log,IP address access log associated with the fraud transaction.,2025-02-06 08:55:51
EVID0410,CASE123,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-02-04 02:15:49
EVID0411,CASE123,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Ganga Nagar 3th Galli.,2025-02-03 10:37:24
EVID0412,CASE124,Hard Disk,Hard drive containing files and data log information.,2025-03-11 17:57:11
EVID0413,CASE124,Laptop,Personal laptop containing document files related to the case.,2025-03-09 20:43:15
EVID0414,CASE125,Fingerprints,Latent fingerprints lifted from the crime scene near HSR Layout Sector 1 Road environment.,2025-02-18 22:20:59
EVID0415,CASE125,CCTV Footage,CCTV footage recorded at the crime scene near HSR Layout Sector 1 Road location showing the suspect's possession.,2025-02-14 13:28:38
EVID0416,CASE125,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-02-15 15:59:42
EVID0417,CASE125,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-02-14 15:53:25
EVID0418,CASE126,Broken Glass,Broken glass shards collected for forensic examination.,2025-07-05 12:14:14
EVID0419,CASE126,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-07-03 14:45:07
EVID0420,CASE126,Hard Disk,Hard drive containing files and data log information.,2025-07-01 01:47:27
EVID0421,CASE126,Laptop,Personal laptop containing document files related to the case.,2025-06-28 00:32:41
EVID0422,CASE126,SIM Card,SIM card recovered from the suspect's possession's device.,2025-07-05 01:22:28
EVID0423,CASE127,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-03-16 05:05:10
EVID0424,CASE127,Mobile Phone,Seized phone containing suspicious communications.,2025-03-10 15:18:56
EVID0425,CASE127,Wallet,Wallet recovered from the crime scene near Tavarekere Main Road containing identity cards.,2025-03-14 11:56:13
EVID0426,CASE127,SIM Card,SIM card recovered from the suspect's possession's device.,2025-03-14 09:44:07
EVID0427,CASE127,Laptop,Personal laptop containing document files related to the case.,2025-03-15 00:05:57
EVID0428,CASE128,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Kammasandra 4th Link Road.,2025-12-01 11:38:31
EVID0429,CASE129,Wallet,Wallet recovered from the crime scene near RT Nagar 4th Junction Road containing identity cards.,2026-03-06 04:56:00
EVID0430,CASE129,Laptop,Personal laptop containing document files related to the case.,2026-03-05 06:48:04
EVID0431,CASE129,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near RT Nagar 4th Junction Road.,2026-03-03 16:38:46
EVID0432,CASE130,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-07-23 22:27:08
EVID0433,CASE130,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-07-25 18:30:00
EVID0434,CASE130,CCTV Footage,CCTV footage recorded at the crime scene near Gokulam 2th Temple Road location showing the suspect's possession.,2025-07-27 22:20:07
EVID0435,CASE130,Fingerprints,Latent fingerprints lifted from the crime scene near Gokulam 2th Temple Road environment.,2025-07-25 14:40:25
EVID0436,CASE131,Hard Disk,Hard drive containing files and data log information.,2026-06-19 20:44:42
EVID0437,CASE131,Threat Letter,Threat letter written by the accused received by the victim.,2026-06-14 06:20:33
EVID0438,CASE131,Mobile Phone,Seized phone containing suspicious communications.,2026-06-18 23:01:01
EVID0439,CASE131,Laptop,Personal laptop containing document files related to the case.,2026-06-20 15:32:04
EVID0440,CASE132,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-07-12 06:07:29
EVID0441,CASE132,Broken Glass,Broken glass shards collected for forensic examination.,2025-07-12 04:21:52
EVID0442,CASE133,SIM Card,SIM card recovered from the suspect's possession's device.,2026-02-08 14:00:25
EVID0443,CASE133,Laptop,Personal laptop containing document files related to the case.,2026-02-11 19:01:57
EVID0444,CASE133,Threat Letter,Threat letter written by the accused received by the victim.,2026-02-08 16:04:06
EVID0445,CASE133,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-02-05 14:08:32
EVID0446,CASE134,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-05-29 18:26:12
EVID0447,CASE134,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-06-06 01:56:33
EVID0448,CASE134,Email Records,Phishing or fraudulent email communications retrieved.,2026-05-29 10:51:33
EVID0449,CASE134,IP Address Log,Access logs showing logins to the target banking portal.,2026-05-28 05:20:35
EVID0450,CASE135,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-05-03 08:37:54
EVID0451,CASE135,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-05-08 11:51:19
EVID0452,CASE136,IP Address Log,IP address access log associated with the fraud transaction.,2025-11-03 20:29:26
EVID0453,CASE136,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-10-30 22:30:21
EVID0454,CASE136,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-11-03 14:05:53
EVID0455,CASE136,Email Records,Email threads between the complainant and the fraudulent sender.,2025-11-02 14:12:08
EVID0456,CASE136,Laptop,Personal laptop containing document files related to the case.,2025-11-02 01:26:50
EVID0457,CASE137,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-02-07 06:50:48
EVID0458,CASE137,CCTV Footage,CCTV footage recorded at the crime scene near Cox Town Junction Road location showing the suspect's possession.,2025-02-08 02:10:33
EVID0459,CASE137,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-02-07 19:02:13
EVID0460,CASE137,Fingerprints,Latent fingerprints lifted from the crime scene near Cox Town Junction Road environment.,2025-02-01 08:17:02
EVID0461,CASE137,Mobile Phone,Seized phone containing suspicious communications.,2025-01-29 15:59:45
EVID0462,CASE138,Email Records,Phishing or fraudulent email communications retrieved.,2026-03-05 17:35:25
EVID0463,CASE138,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-03-07 22:51:47
EVID0464,CASE138,IP Address Log,Access logs showing logins to the target banking portal.,2026-03-09 05:22:26
EVID0465,CASE138,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-03-07 05:25:58
EVID0466,CASE139,SIM Card,SIM card recovered from the suspect's possession's device.,2026-02-06 04:12:22
EVID0467,CASE139,Threat Letter,Threat letter written by the accused received by the victim.,2026-02-10 21:48:32
EVID0468,CASE140,Hard Disk,Hard drive containing files and data log information.,2025-01-09 14:14:54
EVID0469,CASE140,Broken Glass,Broken glass shards collected for forensic examination.,2025-01-09 09:31:04
EVID0470,CASE141,CCTV Footage,CCTV footage recorded at the crime scene near Harlur Road 4th Ring Road location showing the suspect's possession.,2025-09-08 05:04:54
EVID0471,CASE141,Fingerprints,Latent fingerprints lifted from the crime scene near Harlur Road 4th Ring Road environment.,2025-09-09 10:53:17
EVID0472,CASE141,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-09-10 23:13:51
EVID0473,CASE141,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-09-12 03:52:39
EVID0474,CASE142,Threat Letter,Threat letter written by the accused received by the victim.,2025-01-29 13:17:00
EVID0475,CASE142,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near BTM 2nd Stage 16th Main.,2025-01-27 16:43:01
EVID0476,CASE142,SIM Card,SIM card recovered from the suspect's possession's device.,2025-02-06 05:43:04
EVID0477,CASE142,Broken Glass,Broken glass shards collected for forensic examination.,2025-02-06 06:07:45
EVID0478,CASE142,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-01-27 13:34:48
EVID0479,CASE143,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-01-17 07:07:14
EVID0480,CASE143,Fingerprints,Latent fingerprints lifted from the crime scene near 80 Feet Road Koramangala environment.,2025-01-13 22:15:18
EVID0481,CASE143,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-01-08 19:28:07
EVID0482,CASE143,CCTV Footage,CCTV footage recorded at the crime scene near 80 Feet Road Koramangala location showing the suspect's possession.,2025-01-15 21:02:45
EVID0483,CASE144,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Gandhi Bazaar 5th Station Road.,2025-12-06 21:24:28
EVID0484,CASE145,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-01-07 14:38:10
EVID0485,CASE145,CCTV Footage,CCTV footage recorded at the crime scene near Sanjaynagar 4th Ring Road location showing the suspect's possession.,2025-01-09 16:53:24
EVID0486,CASE145,Fingerprints,Latent fingerprints lifted from the crime scene near Sanjaynagar 4th Ring Road environment.,2025-01-06 05:25:08
EVID0487,CASE146,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-06-13 01:22:09
EVID0488,CASE146,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-06-17 11:36:35
EVID0489,CASE146,Email Records,Email threads between the complainant and the fraudulent sender.,2026-06-16 02:47:36
EVID0490,CASE146,IP Address Log,IP address access log associated with the fraud transaction.,2026-06-17 19:54:26
EVID0491,CASE146,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Mathikere Club Road.,2026-06-17 09:15:54
EVID0492,CASE147,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-08-27 12:53:33
EVID0493,CASE147,CCTV Footage,CCTV footage recorded at the crime scene near Angol Galli location showing the suspect's possession.,2025-08-23 03:07:50
EVID0494,CASE147,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-08-26 20:28:31
EVID0495,CASE148,Mobile Phone,Seized phone containing suspicious communications.,2025-11-26 22:31:21
EVID0496,CASE148,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-11-29 19:35:25
EVID0497,CASE149,Broken Glass,Broken glass shards collected for forensic examination.,2026-05-02 03:12:36
EVID0498,CASE149,Mobile Phone,Seized phone containing suspicious communications.,2026-04-29 08:42:17
EVID0499,CASE149,SIM Card,SIM card recovered from the suspect's possession's device.,2026-05-06 20:43:30
EVID0500,CASE149,Laptop,Personal laptop containing document files related to the case.,2026-05-02 14:02:35
EVID0501,CASE149,Hard Disk,Hard drive containing files and data log information.,2026-04-27 18:55:34
EVID0502,CASE150,Fingerprints,Latent fingerprints lifted from the crime scene near Tavarekere Main Road environment.,2025-12-26 06:35:52
EVID0503,CASE150,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-12-30 05:45:10
EVID0504,CASE150,CCTV Footage,CCTV footage recorded at the crime scene near Tavarekere Main Road location showing the suspect's possession.,2025-12-29 09:56:09
EVID0505,CASE150,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-12-26 04:31:20
EVID0506,CASE150,Hard Disk,Hard drive containing files and data log information.,2025-12-27 17:36:14
EVID0507,CASE151,Fingerprints,Latent fingerprints lifted from the crime scene near Peenya Temple Road environment.,2025-05-07 20:37:54
EVID0508,CASE151,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-05-09 04:57:36
EVID0509,CASE151,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-05-06 10:10:06
EVID0510,CASE152,SIM Card,SIM card recovered from the suspect's possession's device.,2025-04-15 15:32:07
EVID0511,CASE153,Clothing,Stained clothing of the victim containing forensic trace material.,2025-10-01 04:17:53
EVID0512,CASE153,DNA Sample,Biological DNA samples extracted from the crime scene near Saraswatpur Dharwad 1th Lane.,2025-09-25 11:42:08
EVID0513,CASE153,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2025-09-29 19:50:57
EVID0514,CASE153,Blood Sample,Blood spatter samples collected from the scene of the incident.,2025-09-30 13:19:19
